"SubGrup proced";"Jan/2016";"Fev/2016";"Mar/2016";"Abr/2016";"Mai/2016";"Jun/2016";"Jul/2016";"Ago/2016";"Set/2016";"Out/2016";"Nov/2016";"Dez/2016";"Jan/2017";"Fev/2017";"Mar/2017";"Abr/2017";"Mai/2017";"Jun/2017";"Jul/2017";"Ago/2017";"Set/2017";"Out/2017";"Nov/2017";"Dez/2017";"Jan/2018";"Fev/2018";"Mar/2018";"Abr/2018";"Mai/2018";"Jun/2018";"Jul/2018";"Ago/2018";"Set/2018";"Out/2018";"Nov/2018";"Dez/2018";"Jan/2019";"Fev/2019";"Mar/2019";"Abr/2019";"Mai/2019";"Jun/2019";"Jul/2019";"Ago/2019";"Set/2019";"Out/2019";"Nov/2019";"Dez/2019";"Total"
"0101 Acoes coletivas/individuais em saude";16;4;13;12;25;16;5;14;15;20;99;32;45;48;31;25;41;79;31;53;37;22;41;37;0;20;1;40;6;70;42;12;79;38;44;44;3;0;7;4;4;4;4;4;4;4;0;4;1199
"0201 Coleta de material";36;9;45;29;58;59;83;36;79;110;127;92;39;99;162;80;77;67;51;94;60;123;105;262;96;117;89;145;134;204;140;208;193;162;181;126;110;163;64;183;104;89;179;184;127;248;90;153;5471
"0202 Diagnostico em laboratorio clinico";39410;36351;42192;34743;32930;34213;31471;36453;34919;31437;21484;23339;38838;30560;30194;22555;36246;34798;37737;40277;35597;35672;28756;17326;33990;30251;38960;41826;36223;38264;35913;45789;40115;46865;35392;35192;42398;39876;37561;42370;45372;32107;43482;46372;41236;38667;36642;31301;1723662
"0203 Diagnostico por anatomia patologica e citopatologia";505;536;493;400;608;511;556;667;855;413;475;879;650;579;832;567;449;565;360;367;376;694;569;914;1345;698;708;641;1011;843;1035;945;634;479;478;927;1315;795;603;1356;829;1120;655;1212;1099;733;892;776;34949
"0204 Diagnostico por radiologia";2533;2748;3068;2499;2675;2421;2401;2501;2197;1997;1936;1811;1975;1850;1866;2077;2463;1661;1161;1819;2315;1885;1889;1882;1973;1939;2428;2642;2464;2056;2105;2401;2207;2438;1737;2733;2354;2066;1736;1950;2294;1716;1950;2178;2136;2097;1970;1790;102990
"0205 Diagnostico por ultrasonografia";429;938;1022;1162;832;973;952;1000;740;842;1119;1251;1016;1026;1802;988;962;1209;1129;953;1245;1312;1261;1089;1494;1144;1120;1450;1136;1219;1003;1453;1238;1370;1414;1252;1066;1322;1389;1306;1819;1624;1431;1461;1566;2019;1069;1725;58342
"0206 Diagnostico por tomografia";461;369;687;546;510;569;867;750;968;794;766;680;585;388;755;558;776;768;767;712;716;1042;751;788;1086;622;850;926;763;700;625;615;560;864;693;721;927;807;694;589;481;458;470;507;506;562;489;536;32624
"0207 Diagnostico por ressonancia magnetica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;254;483;185;191;210;207;168;203;142;133;201;0;297;257;241;3293
"0208 Diagnostico por medicina nuclear in vivo";89;27;155;116;140;44;4;99;86;148;164;32;147;38;7;1;1;53;12;9;1;2;140;239;99;104;75;0;87;62;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;0;0;0;2187
"0209 Diagnostico por endoscopia";41;155;134;138;192;172;283;197;195;206;275;212;285;279;311;244;307;216;191;222;228;212;170;132;354;181;294;374;212;228;234;256;206;361;249;196;279;307;244;410;250;222;321;289;266;400;242;199;11571
"0210 Diagnostico por radiologia intervencionista";9;1;1;1;2;2;1;1;1;2;1;0;0;5;33;26;15;17;21;11;11;5;15;11;0;13;9;3;0;6;4;0;12;35;34;27;21;49;46;30;44;21;30;73;31;24;30;39;773
"0211 Metodos diagnosticos em especialidades";1235;794;819;1641;1636;1556;910;1063;909;1019;1491;1015;1336;1116;1598;1299;1235;1164;795;545;1063;896;1091;1336;1024;1135;1260;1680;1386;1037;1601;2075;2814;3185;2298;2776;1910;3076;1899;2963;2758;1557;3037;2920;2870;2579;3254;1836;80492
"0212 Diagnostico e procedimentos especiais em hemoterapia";54;44;60;45;57;51;60;34;55;69;52;60;94;74;75;52;72;60;64;55;44;63;51;60;66;0;62;78;59;79;40;79;68;82;74;94;143;97;61;111;198;82;70;0;62;62;58;63;3193
