Month/Year,Value
Jan/2012,39331
Fev/2012,33493
Mar/2012,49056
Abr/2012,47137
Mai/2012,47126
Jun/2012,21504
Jul/2012,8926
Ago/2012,8373
Set/2012,50207
Out/2012,41469
Nov/2012,37009
Dez/2012,31750
Jan/2013,35584
Fev/2013,39584
Mar/2013,48506
Abr/2013,37093
Mai/2013,25983
Jun/2013,10116
Jul/2013,9250
Ago/2013,31966
Set/2013,34775
Out/2013,32257
Nov/2013,35769
Dez/2013,22046
Jan/2014,23311
Fev/2014,7910
Mar/2014,9384
Abr/2014,18350
Mai/2014,16765
Jun/2014,12606
Jul/2014,28910
Ago/2014,31332
Set/2014,32095
Out/2014,31974
Nov/2014,30722
Dez/2014,23023
Jan/2015,24036
Fev/2015,25899
Mar/2015,32126
Abr/2015,35400
Mai/2015,41333
Jun/2015,29202
Jul/2015,25495
Ago/2015,31252
Set/2015,35393
Out/2015,42066
Nov/2015,40850
Dez/2015,32206
Jan/2016,39410
Fev/2016,36351
Mar/2016,42192
Abr/2016,34743
Mai/2016,32930
Jun/2016,34213
Jul/2016,31471
Ago/2016,36453
Set/2016,34919
Out/2016,31437
Nov/2016,21484
Dez/2016,23339
Jan/2017,38838
Fev/2017,30560
Mar/2017,30194
Abr/2017,22555
Mai/2017,36246
Jun/2017,34798
Jul/2017,37737
Ago/2017,40277
Set/2017,35597
Out/2017,35672
Nov/2017,28756
Dez/2017,17326
Jan/2018,33990
Fev/2018,30251
Mar/2018,38960
Abr/2018,41826
Mai/2018,36223
Jun/2018,38264
Jul/2018,35913
Ago/2018,45789
Set/2018,40115
Out/2018,46865
Nov/2018,35392
Dez/2018,35192
Jan/2019,42398
Fev/2019,39876
Mar/2019,37561
Abr/2019,42370
Mai/2019,45372
Jun/2019,32107
Jul/2019,43482
Ago/2019,46372
Set/2019,41236
Out/2019,38667
Nov/2019,36642
Dez/2019,31301
Jan/2020,43209
Fev/2020,40841
Mar/2020,29159
Abr/2020,7047
Mai/2020,8397
Jun/2020,12135
Jul/2020,15685
Ago/2020,23533
Set/2020,29972
Out/2020,31261
Nov/2020,34169
Dez/2020,31710
Jan/2021,31509
Fev/2021,29996
Mar/2021,37414
Abr/2021,32063
Mai/2021,36282
Jun/2021,35023
Jul/2021,39112
Ago/2021,40845
Set/2021,41008
Out/2021,39639
Nov/2021,40654
Dez/2021,31739
Jan/2022,43697
Fev/2022,32816
Mar/2022,38643
Abr/2022,31488
Mai/2022,37729
Jun/2022,32806
Jul/2022,39006
Ago/2022,48256
Set/2022,48682
Out/2022,46226
Nov/2022,34072
Dez/2022,28424
Jan/2023,23697
Fev/2023,34587
Mar/2023,41191
Abr/2023,28861
Mai/2023,43972
Jun/2023,39382
Jul/2023,41197
Ago/2023,46833
