Month/Year,Value
Jan/2018,33990
Jan/2018,33990
Fev/2018,30251
Fev/2018,30251
Mar/2018,38960
Mar/2018,38960
Abr/2018,41826
Abr/2018,41826
Mai/2018,36223
Mai/2018,36223
Jun/2018,38264
Jun/2018,38264
Jul/2018,35913
Jul/2018,35913
Ago/2018,45789
Ago/2018,45789
Set/2018,40115
Set/2018,40115
Out/2018,46865
Out/2018,46865
Nov/2018,35392
Nov/2018,35392
Dez/2018,35192
Dez/2018,35192
Jan/2019,42398
Jan/2019,42398
Fev/2019,39876
Fev/2019,39876
Mar/2019,37561
Mar/2019,37561
Abr/2019,42370
Abr/2019,42370
Mai/2019,45372
Mai/2019,45372
Jun/2019,32107
Jun/2019,32107
Jul/2019,43482
Jul/2019,43482
Ago/2019,46372
Ago/2019,46372
Set/2019,41236
Set/2019,41236
Out/2019,38667
Out/2019,38667
Nov/2019,36642
Nov/2019,36642
Dez/2019,31301
Dez/2019,31301
Jan/2020,43209
Jan/2020,43209
Fev/2020,40841
Fev/2020,40841
Mar/2020,29159
Mar/2020,29159
Abr/2020,7047
Abr/2020,7047
Mai/2020,8397
Mai/2020,8397
Jun/2020,12135
Jun/2020,12135
Jul/2020,15685
Jul/2020,15685
Ago/2020,23533
Ago/2020,23533
Set/2020,29972
Set/2020,29972
Out/2020,31261
Out/2020,31261
Nov/2020,34169
Nov/2020,34169
Dez/2020,31710
Dez/2020,31710
Jan/2021,31509
Jan/2021,31509
Fev/2021,29996
Fev/2021,29996
Mar/2021,37414
Mar/2021,37414
Abr/2021,32063
Abr/2021,32063
Mai/2021,36282
Mai/2021,36282
Jun/2021,35023
Jun/2021,35023
Jul/2021,39112
Jul/2021,39112
Ago/2021,40845
Ago/2021,40845
Set/2021,41008
Set/2021,41008
Out/2021,39639
Out/2021,39639
Nov/2021,40654
Nov/2021,40654
Dez/2021,31739
Dez/2021,31739
Jan/2022,43697
Jan/2022,43697
Fev/2022,32816
Fev/2022,32816
Mar/2022,38643
Mar/2022,38643
Abr/2022,31488
Abr/2022,31488
Mai/2022,37729
Mai/2022,37729
Jun/2022,32806
Jun/2022,32806
Jul/2022,39006
Jul/2022,39006
Ago/2022,48256
Ago/2022,48256
Set/2022,48682
Set/2022,48682
Out/2022,46226
Out/2022,46226
Nov/2022,34072
Nov/2022,34072
Dez/2022,28424
Dez/2022,28424
Jan/2023,23697
Jan/2023,23697
Fev/2023,34587
Fev/2023,34587
Mar/2023,41191
Mar/2023,41191
Abr/2023,28861
Abr/2023,28861
Mai/2023,43972
Mai/2023,43972
Jun/2023,39382
Jun/2023,39382
Jul/2023,41197
Jul/2023,41197
Ago/2023,46833
Ago/2023,46833
